Remuneracao Liquida	Descontos Legais	Indenizacoes	Remuneracao Bruta	Matricula	Redutor
     9313.01	         .00	        0.00	     9313.01	008516	        0.00
     5183.49	      392.93	        0.00	     5576.42	008567	        0.00
     8513.27	     1945.29	        0.00	    10458.56	008583	        0.00
     1311.99	     1979.97	        0.00	     3291.96	008605	        0.00
     3183.59	         .00	        0.00	     3183.59	008613	        0.00
     3550.91	     2400.82	      589.81	     5361.92	008630	        0.00
    13812.73	     4858.86	        0.00	    18671.59	008648	        0.00
    17969.06	     1068.06	        0.00	    19037.12	008656	        0.00
     4909.16	      157.21	        0.00	     5066.37	008699	        0.00
     2718.19	     2652.03	        0.00	     5370.22	008702	        0.00
     4027.21	      107.17	        0.00	     4134.38	008711	        0.00
     3629.99	       74.08	        0.00	     3704.07	008729	        0.00
     4583.90	       62.91	        0.00	     4646.81	008761	        0.00
    10804.31	     4432.14	     1283.18	    13953.27	008826	        0.00
